Invoice number,Payment due,Payment paid,Late<30,30<Late<60,60<Late<90,90<Late
10915,497,497,497,0,0,0
10351,-450,0,0,0,0,0
10917,450,0,0,0,0,0
10880,1154,1154,1154,0,0,0
10923,222,222,222,0,0,0
10924,117,117,117,0,0,0
10950,840,840,840,0,0,0
10953,426,426,426,0,0,0
10956,3455,3455,3455,0,0,0
10969,685,685,685,0,0,0
11001,45,45,45,0,0,0
56083,99,0,0,0,0,0
103361,-176,0,0,0,0,0
103381,-1860,0,0,0,0,0
56077,2978,0,0,0,0,0
56081,602,0,0,0,0,0
56079,1011,0,0,0,0,0
56080,398,0,0,0,0,0
10900,2855,2469,2469,0,0,0
10898,5987,2338,2338,0,0,0
10998,234,0,0,0,0,0
10891,2480,2480,2480,0,0,0
56085,15407,30814,30814,0,0,0
11004,1376,1376,1376,0,0,0
11005,144,144,144,0,0,0
56121,221,221,221,0,0,0
56087,1776,1776,1776,0,0,0
10885,3900,3900,3900,0,0,0
11024,466,466,466,0,0,0
56109,1250,1250,1250,0,0,0
56084,1550,0,0,0,0,0
10369,-4117,0,0,0,0,0
10951,420,420,420,0,0,0
11037,489,489,489,0,0,0
56096,2601,0,0,0,0,0
56094,61831,43503,43503,0,0,0
56120,404,404,404,0,0,0
56116,807,0,0,0,0,0
11016,57,0,0,0,0,0
11027,688,0,0,0,0,0
56092,2183,2183,2183,0,0,0
11023,1638,1469,1469,0,0,0
10896,2292,2292,2292,0,0,0
56089,11958,10000,10000,0,0,0
10952,50544,50544,50544,0,0,0
10962,24093,10824,10824,0,0,0
10999,164,164,164,0,0,0
11021,330,112,112,0,0,0
56108,863,0,0,0,0,0
56129,4241,4003,4003,0,0,0
10957,3181,3181,3181,0,0,0
10908,1766,1766,1766,0,0,0
10945,439,439,439,0,0,0
10877,56,56,56,0,0,0
10879,505,505,505,0,0,0
11038,780,780,780,0,0,0
56095,541,541,541,0,0,0
10925,86,0,0,0,0,0
10907,205,0,0,0,0,0
56049,819,819,819,0,0,0
103356,-145,0,0,0,0,0
56119,1049,1049,1049,0,0,0
10860,2747,0,0,0,0,0
10968,421,0,0,0,0,0
10886,11770,11769.91,11769.91,0,0,0
56110,12805,0,0,0,0,0
10930,1610,1607,1607,0,0,0
10931,3750,3750,3750,0,0,0
56125,856,856,856,0,0,0
11000,700,0,0,0,0,0
103384,-59,0,0,0,0,0
11003,63,0,0,0,0,0
56112,1897,1897,1897,0,0,0
56115,544,0,0,0,0,0
56105,632,632,632,0,0,0
56124,2956,0,0,0,0,0
10954,35,35,35,0,0,0
10948,3285,1347,1347,0,0,0
10949,176,176,176,0,0,0
56099,59,59,59,0,0,0
10881,1100,0,0,0,0,0
56104,5001,0,0,0,0,0
total due: 277299, total paid: 217549.9
6-2017
56185,1021,0,0,0,0,0
11197,1870,1870,1870,0,0,0
11200,92,92,92,0,0,0
total due: 2983, total paid: 1962
7-2017
11136,257,0,0,0,0,0
56170,773,0,0,0,0,0
11209,2743,700,700,0,0,0
11210,48,48,48,0,0,0
56180,796,796,796,0,0,0
11057,760,760,760,0,0,0
11069,304,304,304,0,0,0
56158,476,0,0,0,0,0
11219,1209,0,0,0,0,0
11212,59,0,0,0,0,0
11087,1829,343,343,0,0,0
56176,436,0,0,0,0,0
11167,807,0,0,0,0,0
total due: 10497, total paid: 2951
7-2017
